Time, Rc (Maximum a Posteriori)
481.6803279,0.172070939
481.6803279,0.172070939
481.6803279,0.172070939
482.6775956,0.276491919
482.6775956,0.276491919
482.6775956,0.276491919
482.6775956,0.276491919
483.6748634,0.446681737
483.6748634,0.446681737
483.6748634,0.446681737
485.6693989,0.545528317
485.6693989,0.545528317
485.6693989,0.545528317
486.6666667,0.481483441
487.6639344,0.342236537
487.6639344,0.342236537
488.6612022,0.220304122
488.6612022,0.220304122
489.6584699,0.179328711
489.6584699,0.179328711
490.6557377,0.128943417
490.6557377,0.128943417
490.6557377,0.128943417
490.6557377,0.128943417
491.6530055,0.171353384
491.6530055,0.171353384
491.6530055,0.171353384
492.6502732,0.338599131
492.6502732,0.338599131
493.647541,0.386812431
493.647541,0.386812431
493.647541,0.386812431
493.647541,0.386812431
494.6448087,0.30512623
494.6448087,0.30512623
495.6420765,0.206929336
495.6420765,0.206929336
495.6420765,0.206929336
495.6420765,0.206929336
496.6393443,0.191541029
496.6393443,0.191541029
497.636612,0.093661829
497.636612,0.093661829
498.6338798,0.069275346
498.6338798,0.069275346
498.6338798,0.069275346
498.6338798,0.069275346
498.6338798,0.069275346
498.6338798,0.069275346
498.6338798,0.069275346
498.6338798,0.069275346
498.6338798,0.069275346
499.6311475,0.233368599
499.6311475,0.233368599
499.6311475,0.233368599
499.6311475,0.233368599
499.6311475,0.233368599
499.6311475,0.233368599
499.6311475,0.233368599
499.6311475,0.233368599
499.6311475,0.233368599
499.6311475,0.233368599
499.6311475,0.233368599
499.6311475,0.233368599
500.6284153,0.323870677
501.6256831,0.363210749
501.6256831,0.363210749
501.6256831,0.363210749
502.6229508,0.23582742
502.6229508,0.23582742
502.6229508,0.23582742
502.6229508,0.23582742
503.6202186,0.256278762
503.6202186,0.256278762
503.6202186,0.256278762
503.6202186,0.256278762
503.6202186,0.256278762
504.6174863,0.253883877
504.6174863,0.253883877
504.6174863,0.253883877
504.6174863,0.253883877
504.6174863,0.253883877
504.6174863,0.253883877
505.6147541,0.479253919
505.6147541,0.479253919
505.6147541,0.479253919
505.6147541,0.479253919
505.6147541,0.479253919
506.6120219,0.673604645
506.6120219,0.673604645
506.6120219,0.673604645
506.6120219,0.673604645
507.6092896,0.858666695
508.6065574,0.633645812
509.6038251,0.421527982
509.6038251,0.421527982
509.6038251,0.421527982
509.6038251,0.421527982
509.6038251,0.421527982
509.6038251,0.421527982
510.6010929,0.408373812
510.6010929,0.408373812
510.6010929,0.408373812
510.6010929,0.408373812
511.5983607,0.801330136
511.5983607,0.801330136
511.5983607,0.801330136
511.5983607,0.801330136
512.5956284,0.782350745
512.5956284,0.782350745
512.5956284,0.782350745
512.5956284,0.782350745
513.5928962,1.036069897
513.5928962,1.036069897
513.5928962,1.036069897
513.5928962,1.036069897
513.5928962,1.036069897
514.5901639,0.967859608
514.5901639,0.967859608
514.5901639,0.967859608
515.5874317,0.875787131
515.5874317,0.875787131
515.5874317,0.875787131
516.5846995,0.849827939
516.5846995,0.849827939
516.5846995,0.849827939
516.5846995,0.849827939
517.5819672,0.519511086
517.5819672,0.519511086
517.5819672,0.519511086
518.579235,0.383402511
518.579235,0.383402511
518.579235,0.383402511
518.579235,0.383402511
519.5765027,0.375245201
519.5765027,0.375245201
520.5737705,0.557153685
520.5737705,0.557153685
520.5737705,0.557153685
520.5737705,0.557153685
520.5737705,0.557153685
521.5710383,0.720483732
521.5710383,0.720483732
522.568306,0.598837478
522.568306,0.598837478
522.568306,0.598837478
522.568306,0.598837478
522.568306,0.598837478
523.5655738,0.441280379
523.5655738,0.441280379
523.5655738,0.441280379
524.5628415,0.230008639
524.5628415,0.230008639
524.5628415,0.230008639
525.5601093,0.072634366
525.5601093,0.072634366
525.5601093,0.072634366
525.5601093,0.072634366
525.5601093,0.072634366
525.5601093,0.072634366
525.5601093,0.072634366
525.5601093,0.072634366
525.5601093,0.072634366
525.5601093,0.072634366
525.5601093,0.072634366
525.5601093,0.072634366
526.557377,0.113646804
526.557377,0.113646804
526.557377,0.113646804
527.5546448,0.1524092
527.5546448,0.1524092
527.5546448,0.1524092
527.5546448,0.1524092
527.5546448,0.1524092
527.5546448,0.1524092
528.5519126,0.201779996
529.5491803,0.177397308
529.5491803,0.177397308
529.5491803,0.177397308
529.5491803,0.177397308
529.5491803,0.177397308
529.5491803,0.177397308
530.5464481,0.180790933
530.5464481,0.180790933
530.5464481,0.180790933
530.5464481,0.180790933
530.5464481,0.180790933
530.5464481,0.180790933
530.5464481,0.180790933
530.5464481,0.180790933
530.5464481,0.180790933
531.5437158,0.216197696
531.5437158,0.216197696
531.5437158,0.216197696
532.5409836,0.205930949
532.5409836,0.205930949
532.5409836,0.205930949
532.5409836,0.205930949
532.5409836,0.205930949
533.5382514,0.131618333
533.5382514,0.131618333
533.5382514,0.131618333
533.5382514,0.131618333
533.5382514,0.131618333
533.5382514,0.131618333
533.5382514,0.131618333
534.5355191,0.066690481
535.5327869,0.06979354
535.5327869,0.06979354
535.5327869,0.06979354
535.5327869,0.06979354
535.5327869,0.06979354
535.5327869,0.06979354
535.5327869,0.06979354
536.5300546,0.095207611
536.5300546,0.095207611
536.5300546,0.095207611
538.5245902,0.049965511
538.5245902,0.049965511
538.5245902,0.049965511
538.5245902,0.049965511
538.5245902,0.049965511
538.5245902,0.049965511
539.5218579,0.024816111
539.5218579,0.024816111
539.5218579,0.024816111
540.5191257,0.074500918
540.5191257,0.074500918
540.5191257,0.074500918
540.5191257,0.074500918
540.5191257,0.074500918
540.5191257,0.074500918
540.5191257,0.074500918
541.5163934,0.098508357
541.5163934,0.098508357
542.5136612,0.088099513
542.5136612,0.088099513
543.510929,0.187552662
543.510929,0.187552662
544.5081967,0.230566321
545.5054645,0.185703706
545.5054645,0.185703706
546.5027322,0.340011494
546.5027322,0.340011494
546.5027322,0.340011494
546.5027322,0.340011494
546.5027322,0.340011494
547.5,0.313009889
547.5,0.313009889
547.5,0.313009889
547.5,0.313009889
548.4972678,0.191936014
548.4972678,0.191936014
548.4972678,0.191936014
548.4972678,0.191936014
548.4972678,0.191936014
549.4945355,0.095910984
549.4945355,0.095910984
550.4918033,0.024599716
551.489071,0.131865031
551.489071,0.131865031
551.489071,0.131865031
551.489071,0.131865031
551.489071,0.131865031
552.4863388,0.110046948
554.4808743,0.21350599
554.4808743,0.21350599
554.4808743,0.21350599
555.4781421,0.179540705
555.4781421,0.179540705
558.4699454,0.066071107
558.4699454,0.066071107
558.4699454,0.066071107
559.4672131,0.032815194
560.4644809,0
560.4644809,0
560.4644809,0
560.4644809,0
561.4617486,0
561.4617486,0
561.4617486,0
561.4617486,0
561.4617486,0
561.4617486,0
562.4590164,0.039964914
563.4562842,0.138997172
563.4562842,0.138997172
564.4535519,0.253139077
564.4535519,0.253139077
565.4508197,0.204181751
565.4508197,0.204181751
565.4508197,0.204181751
565.4508197,0.204181751
566.4480874,0.149410636
567.4453552,0.225596363
568.442623,0.142742812
568.442623,0.142742812
568.442623,0.142742812
568.442623,0.142742812
569.4398907,0.087344052
570.4371585,0.208689613
570.4371585,0.208689613
570.4371585,0.208689613
570.4371585,0.208689613
570.4371585,0.208689613
571.4344262,0.182154792
574.4262295,0.066889011
575.4234973,0.033221418
577.4180328,0
577.4180328,0
577.4180328,0
578.4153005,0
578.4153005,0
579.4125683,0
581.4071038,0.129944214
581.4071038,0.129944214
581.4071038,0.129944214
581.4071038,0.129944214
583.4016393,0.092931324
583.4016393,0.092931324
584.3989071,0.198365557
584.3989071,0.198365557
584.3989071,0.198365557
584.3989071,0.198365557
585.3961749,0.288301922
585.3961749,0.288301922
585.3961749,0.288301922
587.3907104,0.231059538
589.3852459,0.276973516
590.3825137,0.22422304
590.3825137,0.22422304
590.3825137,0.22422304
591.3797814,0.162099008
591.3797814,0.162099008
593.3743169,0.065765498
594.3715847,0.15392396
594.3715847,0.15392396
595.3688525,0.143992098
595.3688525,0.143992098
597.363388,0.092957152
597.363388,0.092957152
598.3606557,0.102513114
598.3606557,0.102513114
598.3606557,0.102513114
598.3606557,0.102513114
599.3579235,0.294700492
600.3551913,0.370858427
601.352459,0.490259337
602.3497268,0.409102856
603.3469945,0.316492634
603.3469945,0.316492634
603.3469945,0.316492634
604.3442623,0.214809309
605.3415301,0.108397093
606.3387978,0.035922528
607.3360656,0
610.3278689,0
611.3251366,0
611.3251366,0
614.3169399,0
615.3142077,0.19962976
615.3142077,0.19962976
618.3060109,0.145336716
619.3032787,0.112427132
620.3005464,0.149550672
620.3005464,0.149550672
620.3005464,0.149550672
620.3005464,0.149550672
621.2978142,0.410686307
622.295082,0.855384682
622.295082,0.855384682
622.295082,0.855384682
629.2759563,0.398008143
631.2704918,0.183551467
632.2677596,0.124526201
633.2650273,0.061847782
634.2622951,0.049498032
635.2595628,0.191372276
635.2595628,0.191372276
637.2540984,0.363400414
637.2540984,0.363400414
637.2540984,0.363400414
639.2486339,0.360069418
640.2459016,0.268002044
640.2459016,0.268002044
641.2431694,0.347346164
641.2431694,0.347346164
642.2404372,0.555636072
642.2404372,0.555636072
643.2377049,0.590467608
644.2349727,0.695587575
645.2322404,0.584260849
646.2295082,0.456833815
647.226776,0.317968872
649.2213115,0.087126707
650.2185792,0.04327277
652.2131148,0.042505394
652.2131148,0.042505394
654.2076503,0.273859135
656.2021858,0.219709094
657.1994536,0.216191315
658.1967213,0.477542738
659.1939891,1.037384756
661.1885246,0.739728641
662.1857923,0.976142092
663.1830601,0.781856272
664.1803279,0.565472882
664.1803279,0.565472882
664.1803279,0.565472882
666.1748634,0.53411671
666.1748634,0.53411671
666.1748634,0.53411671
667.1721311,0.71034501
669.1666667,0.502647095
671.1612022,0.288957874
672.1584699,0.169941486
673.1557377,0.088884548
673.1557377,0.088884548
674.1530055,0.044145827
675.1502732,0
676.147541,0.112800923
676.147541,0.112800923
676.147541,0.112800923
677.1448087,0.190116283
680.136612,0.107835337
680.136612,0.107835337
681.1338798,0.073158363
681.1338798,0.073158363
681.1338798,0.073158363
682.1311475,0.036335185
683.1284153,0
683.1284153,0
683.1284153,0
683.1284153,0
685.1229508,0
687.1174863,0.195030357
688.1147541,0.171356211
688.1147541,0.171356211
688.1147541,0.171356211
689.1120219,0.143004008
690.1092896,0.110622635
692.1038251,0.037274367
695.0956284,0
697.0901639,0
698.0874317,0
698.0874317,0
698.0874317,0
701.079235,0
703.0737705,0
703.0737705,0
708.0601093,0.180628877
708.0601093,0.180628877
708.0601093,0.180628877
709.057377,0.158702883
710.0546448,0.255900559
710.0546448,0.255900559
713.0464481,0.517851046
715.0409836,0.35480213
715.0409836,0.35480213
717.0355191,0.186767734
717.0355191,0.186767734
718.0327869,0.144103264
718.0327869,0.144103264
720.0273224,0.227103061
720.0273224,0.227103061
721.0245902,0.199798079
721.0245902,0.199798079
725.0136612,0.227122795
726.010929,0.160664485
727.0081967,0.275237374
727.0081967,0.275237374
728.0054645,0.444823221
728.0054645,0.444823221
729.0027322,0.364595655
729.0027322,0.364595655
730,0.274173396
731,0.175638486
733,0.037698124
734,0
734,0
734,0
735,0
738,0
739,0
739,0
739,0
741,0
743,0
746,0
746,0
746,0
748,0
749,0
754,0
756,0
758,0
758,0
760,0
767,0
768,0
772,0
774,0
780,0.358665125
780,0.358665125
781,0.454370091
781,0.454370091
781,0.454370091
781,0.454370091
783,0.30724479
785,0.117262058
787,0.324336889
788,0.25946083
789,0.606260631
789,0.606260631
795,0.181421678
797,0.062941879
799,0
799,0
800,0
801,0
801,0
801,0
801,0
803,0
804,0
808,0
808,0
809,0.117594571
809,0.117594571
809,0.117594571
811,0.16972759
812,0.522256595
813,0.445087296
813,0.445087296
815,0.255864082
815,0.255864082
815,0.255864082
816,0.28459915
816,0.28459915
818,0.122303305
818,0.122303305
819,0.18964976
819,0.18964976
820,0.166259395
820,0.166259395
820,0.166259395
821,0.111658862
821,0.111658862
821,0.111658862
822,0.053796003
822,0.053796003
822,0.053796003
823,0.249964187
823,0.249964187
823,0.249964187
823,0.249964187
825,0.210301585
825,0.210301585
826,0.154803527
826,0.154803527
827,0.09478777
827,0.09478777
827,0.09478777
827,0.09478777
829,2.96E-13
829,2.96E-13
829,2.96E-13
829,2.96E-13
829,2.96E-13
830,0
831,0
831,0
831,0
831,0
832,0
832,0
832,0
832,0
832,0
832,0
833,0
833,0
833,0
833,0
833,0
833,0
834,0
834,0
834,0
835,0
835,0
836,0
836,0
836,0
837,0
837,0
837,0
837,0
837,0
838,0
839,0
839,0
839,0
839,0
839,0
840,0
840,0
841,0.071345047
841,0.071345047
841,0.071345047
843,0.118666835
843,0.118666835
843,0.118666835
843,0.118666835
844,0.092170287
844,0.092170287
845,0.063002393
846,0.031977276
846,0.031977276
847,0
848,0.120924948
849,0.102577483
849,0.102577483
850,0.174422342
850,0.174422342
850,0.174422342
850,0.174422342
851,0.128053128
851,0.128053128
851,0.128053128
851,0.128053128
851,0.128053128
852,0.182463071
852,0.182463071
852,0.182463071
853,0.129173556
853,0.129173556
853,0.129173556
853,0.129173556
854,0.080499866
854,0.080499866
855,0.055025153
856,0.027928376
856,0.027928376
857,2.58E-13
858,0
859,0.020693659
859,0.020693659
859,0.020693659
859,0.020693659
860,0.138779247
860,0.138779247
862,0.090202664
862,0.090202664
862,0.090202664
862,0.090202664
863,0.061657437
863,0.061657437
863,0.061657437
864,0.111572564
864,0.111572564
864,0.111572564
865,0.142884217
866,0.119568703
866,0.119568703
867,0.092870781
867,0.092870781
